player_id,games_played,total_minutes,total_points,fg_att,fg_made,three_att,three_made,free_att,free_made,off_rebound,def_rebound,assists,steals,blocks,turnovers
350,82,21.3,9.2,7.7,3.5,2.7,0.9,2.2,1.4,1.2,3.1,0.7,0.8,0.9,1.3
351,57,28.5,7,6.2,2.6,2.4,0.8,1.4,1.1,1.6,4.4,1.3,1.5,0.2,0.9
352,14,9.6,1,1.7,0.3,1.2,0.2,0.3,0.2,0.2,0.6,1.3,0.8,0.1,0.2
353,66,31,14.4,12.3,6.1,1.5,0.4,2.3,1.8,1.9,3.2,1.1,1.2,0.6,0.9
354,61,18.4,7.3,7.2,3,1.3,0.3,1.2,0.9,0.3,1.2,3.7,0.8,0.1,1.3
355,47,27.6,8.4,4.9,3.3,0,0,2.6,1.9,3.3,8.2,0.6,0.7,0.5,1.4
356,65,22.7,7.1,5.4,2.4,3.5,1.4,1.3,0.9,0.8,2.9,1.2,0.5,0.3,0.9
357,61,25.9,8.4,6.9,3,2.5,1,1.5,1.4,0.1,1.9,1.3,0.3,0.1,0.7
358,61,19.3,8.1,6.9,3,2.8,1.1,1.5,1.1,0.3,1.8,0.8,0.5,0.1,1
359,25,29.1,15.1,11.8,5.7,5.5,2.4,1.7,1.4,0.6,3.5,1.8,0.8,0.1,2.1
360,68,30.3,13.2,10.5,5,2.6,1.1,2.5,2.2,0.3,1.9,4.6,1,0.1,1.7
361,55,34.4,27.8,20.3,9.2,4.9,1.7,10,7.7,2.1,8.5,4.8,1.4,1.3,3.8
362,65,26.6,7.8,6.6,2.8,3.4,1.3,1.1,0.9,0.5,2.3,2.6,1.3,0.4,1.2
363,22,16.1,5.6,4.6,2.5,0.1,0,0.6,0.5,1.1,2.8,0.9,0.1,0.8,1.1
364,2,17.7,6,6,2,4.5,2,0,0,0.5,1,4.5,1,0,1.5
365,71,20,6.6,5.5,3,0,0,0.9,0.5,1.7,4,0.7,0.5,0.7,0.9
366,19,19.7,6,5.5,2.2,2.1,1,0.6,0.6,0.4,1.5,1.5,0.3,0.1,0.9
367,22,9,3.6,3.1,1.3,1.3,0.4,0.9,0.7,0.1,0.9,0.5,0.2,0,0.4
368,54,25.3,7.6,7.1,2.7,3.9,1.3,1.2,0.9,1,4.4,2.8,0.7,0.3,1.5
369,22,18,5.9,5.3,2.4,1.3,0.5,1,0.5,0.9,3.2,1.2,0.5,0,0.8
370,30,33.8,18.7,14.7,6.7,3.8,1.4,4.6,3.9,1.2,5.2,2.8,1.5,0.9,2.5
371,33,18.5,8.8,6.6,3.5,0.2,0.1,2.2,1.6,1.5,3.4,0.8,0.5,0.4,1.1
372,69,25.1,9.9,7.6,3.4,1.7,0.5,3.1,2.5,0.6,2,4.8,1.1,0.1,1.9
